ssc_name_2016,study_region,dwelling,person,closest_pos,closest_pos_grt_1.5ha,local_employment
Cabramatta,Sydney,7214,21759,362.466991,711.5607669,29.21580882
Cabramatta West,Sydney,2081,7219,290.5676887,839.7878621,32.7785646
Caddens,Sydney,400,1475,278.1539956,713.7760805,30.15384615
Cambridge Gardens,Sydney,699,2021,151.6887637,229.3501409,40.3284619
Cambridge Park,Sydney,2580,6708,215.6998347,260.4262575,39.18272573
Camden,Sydney,1387,3197,164.1925449,290.4709863,42.90004048
Camden Park (NSW),Sydney,650,2234,185.0445271,308.3604788,34.16262578
Camden South,Sydney,1701,4537,190.9854248,480.9407108,36.70342017
Cammeray,Sydney,3458,6972,198.6040977,255.6967943,29.73629987
Campbelltown (NSW),Sydney,5379,12227,217.3521776,293.3644736,44.6696794
Camperdown (NSW),Sydney,5435,8896,203.3564818,276.6829481,64.57558958
Campsie,Sydney,8940,24374,307.831652,535.3377351,17.31273022
Canada Bay,Sydney,502,1246,131.2098088,223.2166543,22.4780414
Canley Heights,Sydney,3304,10991,231.9236694,423.5102278,28.69523953
Canley Vale,Sydney,3304,10193,208.0487684,274.9512517,29.11354165
Canterbury (NSW),Sydney,2977,7195,194.5587449,244.5052225,13.77813768
Canton Beach,Sydney,708,1168,119.3133733,132.6619316,60.41490912
Caringbah,Sydney,5200,11407,301.4141745,588.7151061,35.53886943
Caringbah South,Sydney,4436,12265,380.2997753,671.6470362,41.47485726
Carlingford,Sydney,8537,24386,201.4607448,348.8632311,16.14389371
Carlton (NSW),Sydney,3983,10685,278.293055,655.1358745,19.27357317
Carnes Hill,Sydney,605,2043,499.0669409,809.159795,12.4219506
Carramar (NSW),Sydney,1360,3545,279.1360513,319.0698255,19.82427766
Carss Park,Sydney,458,1256,267.0096125,303.2013664,17.06944165
Cartwright,Sydney,984,2363,525.9123857,525.9123857,31.38474605
Castle Cove,Sydney,932,2566,228.3300547,262.3164354,32.76034037
Castle Hill (NSW),Sydney,13686,39515,318.7676614,563.2039839,31.80012227
